Model,Segment,Fold_Mean_Acc,Fold_Std_Acc,Fold_Mean_AUC,Pooled_AUC,Pooled_Acc
Original,full,0.5177777777777777,0.1933461043036107,0.5,0.45179584120982985,0.5217391304347826
Improved,full,0.6533333333333332,0.08403409067195128,0.6719999999999999,0.5897920604914935,0.6521739130434783
Original,flash,0.4533333333333333,0.12332832822676987,0.49399999999999994,0.500945179584121,0.45652173913043476
Improved,flash,0.5666666666666667,0.18592445034090566,0.6519999999999999,0.5708884688090736,0.5652173913043478
Original,frequency,0.5622222222222222,0.09081251885201133,0.51,0.5217391304347826,0.5652173913043478
Improved,frequency,0.5666666666666667,0.12668615834434868,0.6140000000000001,0.5274102079395084,0.5652173913043478
Original,amplitude,0.45777777777777773,0.09762614505106133,0.592,0.46124763705103966,0.45652173913043476
Improved,amplitude,0.5911111111111109,0.1960095739662217,0.6439999999999999,0.5652173913043478,0.5869565217391305
Original,amplitude_norm,0.5666666666666667,0.09938079899999064,0.692,0.555765595463138,0.5652173913043478
Improved,amplitude_norm,0.5466666666666666,0.1462283011232187,0.672,0.5595463137996218,0.5434782608695652
