feature,stat_type,channel,WT_mean,FAD_mean,p_raw,p_BH,effect_r,significant
mean_ch0,mean,0,0.36239907,0.45783967,0.598012816244638,0.9112576247537341,0.09262759924385633,False
mean_ch1,mean,1,0.29158276,0.38993093,0.1946374612054491,0.9004273636228619,0.22495274102079396,False
mean_ch2,mean,2,0.26942834,0.3325274,0.19491290912722659,0.9004273636228619,0.22495274102079396,False
mean_ch3,mean,3,0.46777415,0.3996649,0.3677284888622401,0.910866004947799,0.15689981096408318,False
mean_ch4,mean,4,0.26372334,0.33043605,0.6601871185348549,0.9410438979199133,0.07750472589792061,False
mean_ch5,mean,5,0.35222742,0.38833657,0.5236071696387611,0.9112576247537341,0.11153119092627599,False
mean_ch6,mean,6,0.30606714,0.34971502,0.7417492970289709,0.9494391001970827,0.05860113421550094,False
mean_ch7,mean,7,0.44183713,0.38880292,0.49584327185880905,0.9112576247537341,0.11909262759924386,False
mean_ch8,mean,8,0.46445104,0.40300295,0.35616065554885934,0.910866004947799,0.16068052930056712,False
mean_ch9,mean,9,0.44286698,0.40563583,0.18745316068649376,0.9004273636228619,0.22873345935727787,False
mean_ch10,mean,10,0.17578645,0.24432097,0.1295513529044088,0.9004273636228619,0.2627599243856333,False
mean_ch11,mean,11,0.31856737,0.28180176,0.2720040994277395,0.9004273636228619,0.19092627599243855,False
mean_ch12,mean,12,0.32360384,0.4169307,0.12408709535760336,0.9004273636228619,0.2665406427221172,False
mean_ch13,mean,13,0.3506872,0.45001897,0.33370715229067516,0.910866004947799,0.16824196597353497,False
mean_ch14,mean,14,0.41340274,0.30724764,0.1188043576287348,0.9004273636228619,0.27032136105860116,False
mean_ch15,mean,15,0.19120967,0.21031703,0.5087475025789486,0.9112576247537341,0.11531190926275993,False
mean_ch16,mean,16,0.22390884,0.23783006,0.7920649110308847,0.9751109427324043,0.04725897920604915,False
mean_ch17,mean,17,0.62392086,0.5978673,0.6763753016299376,0.9410438979199133,0.07372400756143667,False
mean_ch18,mean,18,0.42998078,0.37633294,0.39155650830559197,0.9112576247537341,0.14933837429111532,False
mean_ch19,mean,19,0.35135153,0.3090551,0.5384642123452066,0.9112576247537341,0.10775047258979206,False
mean_ch20,mean,20,0.43010196,0.4444353,0.5678649632170945,0.9112576247537341,0.1001890359168242,False
mean_ch21,mean,21,0.27893403,0.33871108,0.598012816244638,0.9112576247537341,0.09262759924385633,False
mean_ch22,mean,22,0.27836767,0.26076573,0.6763753016299376,0.9410438979199133,0.07372400756143667,False
mean_ch23,mean,23,0.32486498,0.31607944,0.5828479525709245,0.9112576247537341,0.09640831758034027,False
mean_ch24,mean,24,0.31783324,0.19969268,0.08650582163722105,0.9004273636228619,0.29678638941398866,False
mean_ch25,mean,25,0.3486064,0.44693723,0.3677284888622401,0.910866004947799,0.15689981096408318,False
mean_ch26,mean,26,0.52299404,0.49102706,0.7087941528764135,0.9494391001970827,0.0661625708884688,False
mean_ch27,mean,27,0.26076865,0.23959784,0.7417492970289709,0.9494391001970827,0.05860113421550094,False
mean_ch28,mean,28,0.25733605,0.28057048,0.5384642123452066,0.9112576247537341,0.10775047258979206,False
mean_ch29,mean,29,0.39241296,0.39994547,0.929974658010373,0.9751109427324043,0.017013232514177693,False
mean_ch30,mean,30,0.18009126,0.16194074,0.6282732173621768,0.9410438979199133,0.08506616257088846,False
mean_ch31,mean,31,0.32993346,0.389954,0.09941660064420932,0.9004273636228619,0.28544423440453687,False
max_ch0,max,0,1.6593254,1.8837391,0.598012816244638,0.9112576247537341,0.09262759924385633,False
max_ch1,max,1,1.3426031,1.3027576,0.8777049907301911,0.9751109427324043,0.02835538752362949,False
max_ch2,max,2,1.4056404,1.4725468,0.41629851367413584,0.9112576247537341,0.14177693761814744,False
max_ch3,max,3,1.3634138,1.2343513,0.6603835997594716,0.9410438979199133,0.07750472589792061,False
max_ch4,max,4,1.0541444,1.2522132,0.23520077734337386,0.9004273636228619,0.2060491493383743,False
max_ch5,max,5,1.1360427,1.1607363,0.9473947137202581,0.9751109427324043,0.013232514177693762,False
max_ch6,max,6,1.2464975,1.3538086,0.7252081052994781,0.9494391001970827,0.062381852551984876,False
max_ch7,max,7,1.6467128,1.5234855,0.4684624853723316,0.9112576247537341,0.1266540642722117,False
max_ch8,max,8,1.5385195,1.5725348,0.3795275020615829,0.910866004947799,0.15311909262759923,False
max_ch9,max,9,1.5809145,1.4733315,0.2720040994277395,0.9004273636228619,0.19092627599243855,False
max_ch10,max,10,0.970966,1.2494144,0.14706802408143285,0.9004273636228619,0.2514177693761815,False
max_ch11,max,11,1.3049814,1.1928132,0.2025881263524114,0.9004273636228619,0.22117202268431002,False
max_ch12,max,12,1.5617727,1.6755217,0.42900789267703454,0.9112576247537341,0.13799621928166353,False
max_ch13,max,13,1.1432753,1.3186696,0.15328012373514988,0.9004273636228619,0.24763705103969755,False
max_ch14,max,14,1.539942,1.2005908,0.15329279808252413,0.9004273636228619,0.24763705103969755,False
max_ch15,max,15,1.0694188,1.0741178,1.0,1.0,0.001890359168241966,False
max_ch16,max,16,1.0657396,1.051877,0.6763753016299376,0.9410438979199133,0.07372400756143667,False
max_ch17,max,17,2.0271904,1.8808459,0.5240556469270492,0.9112576247537341,0.11153119092627599,False
max_ch18,max,18,1.6645299,1.398911,0.2025881263524114,0.9004273636228619,0.22117202268431002,False
max_ch19,max,19,1.4578679,1.2473214,0.30181384165632663,0.910866004947799,0.17958412098298676,False
max_ch20,max,20,1.4046257,1.2764021,0.860487646185888,0.9751109427324043,0.03213610586011342,False
max_ch21,max,21,1.4650962,1.6828778,0.2720040994277395,0.9004273636228619,0.19092627599243855,False
max_ch22,max,22,1.5349563,1.5930121,0.9649535370789418,0.9751109427324043,0.00945179584120983,False
max_ch23,max,23,1.3325833,1.274294,0.929974658010373,0.9751109427324043,0.017013232514177693,False
max_ch24,max,24,1.4594605,1.0764685,0.24413001212705288,0.9004273636228619,0.20226843100189035,False
max_ch25,max,25,1.4990356,1.4570824,0.8090428622375638,0.9751109427324043,0.043478260869565216,False
max_ch26,max,26,1.3895276,1.3285261,0.598012816244638,0.9112576247537341,0.09262759924385633,False
max_ch27,max,27,1.1680881,1.0757267,0.8261111870340299,0.9751109427324043,0.03969754253308128,False
max_ch28,max,28,1.4639794,1.533307,0.4550924518190428,0.9112576247537341,0.13043478260869565,False
max_ch29,max,29,1.4955996,1.624037,0.21048122567288108,0.9004273636228619,0.21739130434782608,False
max_ch30,max,30,1.0068234,0.9585928,0.9648929009121506,0.9751109427324043,0.00945179584120983,False
max_ch31,max,31,1.5566102,1.8342096,0.09941660064420932,0.9004273636228619,0.28544423440453687,False
std_ch0,std,0,0.4924843,0.5622341,0.35616065554885934,0.910866004947799,0.16068052930056712,False
std_ch1,std,1,0.36986998,0.39623144,0.4955773090899126,0.9112576247537341,0.11909262759924386,False
std_ch2,std,2,0.39106393,0.4269798,0.18020633045640255,0.9004273636228619,0.23251417769376181,False
std_ch3,std,3,0.3454454,0.32446855,0.5530688096633625,0.9112576247537341,0.10396975425330812,False
std_ch4,std,4,0.3351096,0.37981763,0.5528238172198954,0.9112576247537341,0.10396975425330812,False
std_ch5,std,5,0.34502265,0.3650804,0.8088404315526662,0.9751109427324043,0.043478260869565216,False
std_ch6,std,6,0.368875,0.3885138,0.8951305559105456,0.9751109427324043,0.024574669187145556,False
std_ch7,std,7,0.4737854,0.43738523,0.5678649632170945,0.9112576247537341,0.1001890359168242,False
std_ch8,std,8,0.4991715,0.49061713,0.9649535370789418,0.9751109427324043,0.00945179584120983,False
std_ch9,std,9,0.431822,0.41661623,0.9125315861561896,0.9751109427324043,0.020793950850661626,False
std_ch10,std,10,0.30249932,0.38750988,0.14706802408143285,0.9004273636228619,0.2514177693761815,False
std_ch11,std,11,0.39780542,0.35810304,0.2442754895774485,0.9004273636228619,0.20226843100189035,False
std_ch12,std,12,0.43115193,0.48238435,0.21048122567288108,0.9004273636228619,0.21739130434782608,False
std_ch13,std,13,0.31476563,0.3440215,0.44192594364434,0.9112576247537341,0.1342155009451796,False
std_ch14,std,14,0.44433004,0.33505425,0.061848492343591674,0.9004273636228619,0.32325141776937616,False
std_ch15,std,15,0.31405887,0.32830638,0.7411018169666047,0.9494391001970827,0.05860113421550094,False
std_ch16,std,16,0.3238896,0.32348457,0.6925143199592534,0.9494391001970827,0.06994328922495274,False
std_ch17,std,17,0.58723974,0.5548944,0.7920649110308847,0.9751109427324043,0.04725897920604915,False
std_ch18,std,18,0.48503962,0.38232368,0.03688161290085427,0.9004273636228619,0.3610586011342155,False
std_ch19,std,19,0.43203473,0.36592582,0.3448249448015488,0.910866004947799,0.16446124763705103,False
std_ch20,std,20,0.41460633,0.4060454,0.8261111870340299,0.9751109427324043,0.03969754253308128,False
std_ch21,std,21,0.420011,0.49099723,0.2442754895774485,0.9004273636228619,0.20226843100189035,False
std_ch22,std,22,0.43949246,0.45995584,0.9125315861561896,0.9751109427324043,0.020793950850661626,False
std_ch23,std,23,0.39450753,0.36444566,0.5828479525709245,0.9112576247537341,0.09640831758034027,False
std_ch24,std,24,0.42068997,0.2860184,0.10866007334018321,0.9004273636228619,0.277882797731569,False
std_ch25,std,25,0.42803735,0.42268553,0.8951305559105456,0.9751109427324043,0.024574669187145556,False
std_ch26,std,26,0.4541342,0.4263982,0.3795275020615829,0.910866004947799,0.15311909262759923,False
std_ch27,std,27,0.32761264,0.31482068,0.8951305559105456,0.9751109427324043,0.024574669187145556,False
std_ch28,std,28,0.40501067,0.43836156,0.281708239251961,0.9014663656062751,0.18714555765595464,False
std_ch29,std,29,0.45258796,0.47889626,0.33372205862936943,0.910866004947799,0.16824196597353497,False
std_ch30,std,30,0.28795955,0.27055052,0.8602485941004451,0.9751109427324043,0.03213610586011342,False
std_ch31,std,31,0.41317692,0.5043489,0.014745133678053244,0.9004273636228619,0.4215500945179584,False
