segment,attn_pos,input_start,input_end,WT_mean,FAD_mean,p_raw,p_BH,effect_r,significant
flash,0,0,125,0.073362395,0.09346281,0.9474514362730875,1.0,0.013232514177693762,False
flash,1,125,250,0.20929204,0.19365126,0.6763753016299376,0.8859926910955168,0.07372400756143667,False
flash,2,250,375,0.029746236,0.0249295,0.16634058119724848,0.8317029059862424,0.24007561436672967,False
flash,3,375,500,0.0349057,0.028255176,0.14103840489970726,0.8317029059862424,0.2551984877126654,False
flash,4,500,625,0.03628263,0.10430533,0.7087941528764135,0.8859926910955168,0.0661625708884688,False
flash,5,625,750,0.058499113,0.04145961,0.4550924518190428,0.8532983471607052,0.13043478260869565,False
flash,6,750,875,0.060834263,0.070315525,0.12408709535760336,0.8317029059862424,0.2665406427221172,False
flash,7,875,1000,0.06684082,0.050374664,0.42900789267703454,0.8532983471607052,0.13799621928166353,False
flash,8,1000,1125,0.033778228,0.03016715,0.33372205862936943,0.8532983471607052,0.16824196597353497,False
flash,9,1125,1250,0.031804822,0.028673789,0.41629851367413584,0.8532983471607052,0.14177693761814744,False
flash,10,1250,1375,0.08016724,0.04181435,0.4038140735077811,0.8532983471607052,0.14555765595463138,False
flash,11,1375,1500,0.046487357,0.055434775,1.0,1.0,0.001890359168241966,False
flash,12,1500,1625,0.11463971,0.1436745,0.929974658010373,1.0,0.017013232514177693,False
flash,13,1625,1750,0.09535694,0.067269914,0.5828479525709245,0.8859926910955168,0.09640831758034027,False
flash,14,1750,1875,0.028002474,0.026211686,0.6445455153557687,0.8859926910955168,0.08128544423440454,False
