y_true,y_prob
0,0.4072444931278004
0,0.41478443023830014
1,0.35632496902818267
1,0.7930938806787942
0,0.5415820787743728
1,0.6028083349631999
0,0.3872704788623499
0,0.1972619036344454
0,0.41262949905248325
0,0.4047796088603459
0,0.5077412019793841
1,0.8326417841866154
0,0.39836171968806344
0,0.20260464814787837
1,0.39099985960525185
1,0.4264503932022853
0,0.579613241033773
0,0.5760887476085284
0,0.4328569700963968
1,0.61598354050118
1,0.6655509747964418
1,0.583399252799883
1,0.6090166049854624
0,0.38505530988499526
0,0.4677674577813181
1,0.5934281120353283
0,0.611415226720164
0,0.47871776114672837
0,0.42791677169460307
1,0.7974235423405321
1,0.8230089029254445
0,0.4398256574447621
1,0.5662660290759128
1,0.6325330119538075
1,0.5831248378991801
1,1.0
1,0.6320954403848116
0,0.40783588545945304
1,0.5004762850231813
1,0.6293192373895805
0,0.31495225081786904
1,0.8648390629568732
1,0.6098732348663447
0,0.6155102660094589
0,0.3235565818013998
1,0.37152059923667646
