Subject,Signal_Max,Signal_Min,Signal_P2P,Signal_RMS,Signal_Std,Power_Total,Power_Low,Power_Mid,Power_High
MR-0270,1.4869874193360735,-2.754356042426906,4.2413434617629795,0.42508721663831983,0.42508721663831983,0.08883308527202007,0.07904111966262604,0.0030522656748312536,0.00031903767849665566
MR-0273,1.6567914162201238,-2.638168410744181,4.2949598269643054,0.5780368207346637,0.5780368207346637,0.137289072927196,0.13642812857372888,0.0004454750458511808,0.0002537188340196601
MR-0274,1.5183004966442055,-0.9906378692437849,2.5089383658879907,0.4508637153494275,0.4508637153494275,0.06761028919018663,0.018281099731560713,0.011715211832929097,0.01830984907175328
MR-0275,1.9315926125356173,-3.4982103619773435,5.429802974512961,0.6223239193088242,0.6223239193088242,0.11963739734446294,0.11217208544881878,0.00056668316470336,0.0002736218731604412
MR-0276,0.9936903458700226,-2.641890075954586,3.635580421824608,0.3605785431422479,0.3605785431422479,0.03761827765599115,0.033582383255974194,0.0020386815416744176,0.0004998349389946229
MR-0278,0.6890080726986381,-1.9289936645884462,2.6180017372870843,0.28947367094201887,0.28947367094201887,0.03633395163180918,0.029772240962204165,0.005776483468797603,0.0005763827986816531
MR-0280-t1,0.6520656356332158,-2.0870883077620914,2.739153943395307,0.30390288526180914,0.30390288526180914,0.03979419849010326,0.029332825385885723,0.0027193137003909,0.0014411301661151161
MR-0280-t2,1.19364280246114,-2.3554396184014252,3.5490824208625655,0.3961220290965771,0.3961220290965771,0.05529486537594347,0.04692836361173442,0.0013147189587331266,0.0007587377417661289
MR-0282,1.2517559706976897,-4.548144528165664,5.799900498863353,0.5620034842284786,0.5620034842284786,0.06536995592669213,0.06308128348283198,0.0011864930523677846,0.00018470662493657696
MR-0283-t2,2.630642311336788,-7.66734010387857,10.297982415215358,0.7239496015072705,0.7239496015072705,0.18445819799818372,0.10064147061080717,0.061399581293794,0.011552466354500386
MR-0284,0.9575139154752046,-1.9209000704308665,2.878413985906071,0.34450927054457814,0.34450927054457814,0.09051566839900288,0.05429595367380024,0.026447666565925634,0.007833523229584204
MR-0285-t1,0.9116965261090716,-1.9093093055051158,2.8210058316141873,0.33980668571946954,0.33980668571946954,0.0570214653666179,0.04134351262419587,0.005136682852275016,0.0006557849914313527
MR-0285-t2,1.6516024372053155,-7.490846392139036,9.142448829344351,0.6551471991545037,0.6551471991545037,0.12277212914981132,0.09295483059631826,0.02019703222429325,0.005710520141860998
MR-0287,1.5161678666509932,-3.3085604817344856,4.824728348385479,0.5331238801949806,0.5331238801949806,0.09167180458399336,0.08920404540480613,0.0012205799230849846,0.00044651429516140174
MR-0288-t1,0.9703011237863566,-3.069979944953776,4.040281068740133,0.41798202465756173,0.41798202465756173,0.05344196750201377,0.05224406365235545,0.0008670053883258299,0.0002403334906131395
MR-0288-t2,1.3335562220745407,-5.183912104745465,6.517468326820006,0.5122818872164564,0.5122818872164564,0.050497522179523184,0.0432226567519097,0.005939468253869705,0.0007203695030681239
MR-0289,1.1088751882138332,-2.563894826040383,3.6727700142542163,0.374290093446529,0.374290093446529,0.059904686527876685,0.04980997393278354,0.004126900258757951,0.0017843573355389227
MR-0290,0.8952189255903683,-3.042362631137742,3.93758155672811,0.38881818669900037,0.38881818669900037,0.05697699854650262,0.054239268538335425,0.0022865848569331815,0.0003954301785929821
MR-0291,0.8217610769266077,-1.9983510193227245,2.820112096249332,0.2859709589250753,0.2859709589250753,0.03895838536533905,0.03446572208587936,0.001883747862662612,0.0009863171040895638
MR-0292-t1,1.329805780151913,-1.6262590678001863,2.9560648479520992,0.4364660672717258,0.4364660672717258,0.10807393489155162,0.10562679200216066,0.0020274666701046787,0.0003155402079034396
MR-0292-t2,1.2204151772461944,-1.2000880413404789,2.4205032185866733,0.35501889325823593,0.35501889325823593,0.10392568190320817,0.10023364414484642,0.002452712210682612,0.0006914338387111571
MR-0293,0.8889898232233522,-1.6831332773256282,2.57212310054898,0.27676735382211487,0.27676735382211487,0.039981042578907236,0.03601320715104786,0.001874709649080102,0.00067791706211238
MR-0296-t1,0.7427296316117232,-1.186374519800468,1.9291041514121914,0.21515299788895537,0.21515299788895537,0.029095459527132866,0.02736405603951124,0.001421383398425006,0.00020792969317815364
MR-0296-t2,0.5755800869326737,-0.8246567520638632,1.400236838996537,0.20124465224207386,0.20124465224207386,0.024419587787444068,0.022245871949368334,0.0014518276062721147,0.0004686074833249148
MR-0298-t1,0.8244181192661064,-1.136317501731052,1.9607356209971585,0.27810569528468576,0.27810569528468576,0.04660071835199543,0.04080207356943211,0.00336281860267599,0.0010497220488146642
MR-0298-t2,1.0768113666142003,-2.382202364006357,3.4590137306205575,0.3732457796700204,0.3732457796700204,0.07168218267614546,0.06810473640868336,0.002237920270957067,0.000858561892165546
MR-0299-t1,1.1097593120010456,-2.1819823946777595,3.2917417066788053,0.42353505435914474,0.42353505435914474,0.07659954117927782,0.07252503019533688,0.0019251804972221826,0.0005327848963134533
MR-0300-t1,0.9945375652366031,-2.267797003076416,3.262334568313019,0.3579991192140959,0.3579991192140959,0.0513055320128281,0.04431414857740878,0.005225690630473114,0.0014713376531959507
MR-0300-t2,0.5505793495481117,-1.0798207774185105,1.6304001269666222,0.24019026586262632,0.24019026586262632,0.03140013792898327,0.027257415863949853,0.003045624527836616,0.0004000036929398871
MR-0301-t2,1.3140780101669487,-3.058802482623903,4.372880492790852,0.46957650488006286,0.46957650488006286,0.0786165276542929,0.07661301497691939,0.001271706856902457,0.0005584532272491612
MR-0302-t1,1.1932635943312102,-2.207491684416509,3.4007552787477193,0.37984139941671086,0.37984139941671086,0.06256287643630429,0.05716744458625833,0.004162912465950163,0.0010355551067757417
MR-0302-t2,0.7446789337171642,-1.8361191751950836,2.580798108912248,0.2382092221781048,0.2382092221781048,0.028802926158046697,0.019409382872465013,0.005977186518751514,0.0025120063502599064
MR-0303,0.9924566901638646,-2.0939430104459142,3.0863997006097788,0.36475924518864505,0.36475924518864505,0.056883930712418734,0.05202309881722444,0.004129904571713028,0.0006707313650457999
MR-0304-t2,1.1266941362395897,-1.7592903358296856,2.8859844720692753,0.3696529073345587,0.3696529073345587,0.05674111692671163,0.05054422307381121,0.004782082120725908,0.0008273981436912407
MR-0305,1.12410992725893,-1.73652667210181,2.86063659936074,0.33740429155476886,0.33740429155476886,0.06166434753463214,0.05529983529249326,0.004635564430574779,0.0012710182153454854
MR-0306,0.7781090440179467,-2.72884980005136,3.506958844069307,0.37119673980137724,0.37119673980137724,0.0389799191010334,0.03675658101526828,0.001658315116796674,0.00043344798060523124
MR-0307-t2,0.811753424308238,-0.994161929383512,1.80591535369175,0.243426995418356,0.243426995418356,0.037222871743204426,0.03433884786832809,0.002202174146593396,0.0005474506390074653
MR-0309,0.25150063412409207,-0.46406566288954854,0.7155662970136406,0.12336967029507233,0.12336967029507233,0.01090811792370447,0.0065375659618394115,0.0038918434151975242,0.0002975897627738879
MR-0310,0.8934658707251951,-1.4476788687253657,2.3411447394505607,0.3010894099195182,0.3010894099195182,0.06210430412479878,0.05201253098781934,0.008584409325859825,0.001393688979353732
MR-0311,0.9921123464449044,-1.4747250865129218,2.466837432957826,0.29438027688951046,0.29438027688951046,0.052952765916932376,0.037243232580238664,0.012921210266330169,0.0022487737604966547
MR-0312,1.0495807048742698,-1.8537188542891752,2.903299559163445,0.34300179444080303,0.34300179444080303,0.05536577073258395,0.046027966606206394,0.0070729105501442895,0.0020924211180936183
MR-0313,1.2469416468282222,-2.434904237719657,3.681845884547879,0.4424986597353141,0.4424986597353141,0.09126164101491713,0.0881554219201823,0.0021859861675682982,0.0005684110076272553
